path,parsed,new_unique,status
knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_A/edit_records.jsonl,50,50,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_B/edit_records.jsonl,50,50,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_C/edit_records.jsonl,50,50,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_D/edit_records.jsonl,50,50,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/llama3.1-release/fold_A/edit_records.jsonl,50,39,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/llama3.1-release/fold_B/edit_records.jsonl,50,45,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/llama3.1-release/fold_C/edit_records.jsonl,50,46,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/llama3.1-release/fold_D/edit_records.jsonl,50,47,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_A/edit_records.jsonl,50,42,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_B/edit_records.jsonl,50,35,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_C/edit_records.jsonl,50,40,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_D/edit_records.jsonl,50,45,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3.5-27b/fold_A/edit_records.jsonl,50,39,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3.5-27b/fold_B/edit_records.jsonl,50,43,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3.5-27b/fold_C/edit_records.jsonl,50,33,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3.5-27b/fold_D/edit_records.jsonl,50,35,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3.5-9b/fold_A/edit_records.jsonl,50,35,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3.5-9b/fold_B/edit_records.jsonl,50,34,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3.5-9b/fold_C/edit_records.jsonl,50,26,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3.5-9b/fold_D/edit_records.jsonl,50,37,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwencoder/fold_A/edit_records.jsonl,50,23,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwencoder/fold_B/edit_records.jsonl,50,21,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwencoder/fold_C/edit_records.jsonl,50,30,ok
knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwencoder/fold_D/edit_records.jsonl,50,23,ok
